employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted,salary
65438,Sales & Marketing,region_7,Master's & above,f,sourcing,1,35,5,8,0,49,0,43928
65141,Operations,region_22,Bachelor's,m,other,1,30,5,4,0,60,0,45495
7513,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,34,3,7,0,50,0,144763
2542,Sales & Marketing,region_23,Bachelor's,m,other,2,39,1,10,0,50,0,68882
48945,Technology,region_26,Bachelor's,m,other,1,45,3,2,0,73,0,42417
58896,Analytics,region_2,Bachelor's,m,sourcing,2,31,3,7,0,85,0,20498
20379,Operations,region_20,Bachelor's,f,other,1,31,3,5,0,59,0,11770
16290,Operations,region_34,Master's & above,m,sourcing,1,33,3,6,0,63,0,67192
73202,Analytics,region_20,Bachelor's,m,other,1,28,4,5,0,83,0,14581
28911,Sales & Marketing,region_1,Master's & above,m,sourcing,1,32,5,5,0,54,0,30624
29934,Technology,region_23,,m,sourcing,1,30,,1,0,77,0,148077
49017,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,35,5,3,0,50,1,19453
60051,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,49,5,5,0,49,0,23619
38401,Technology,region_29,Master's & above,m,other,2,39,3,16,0,80,0,36277
77040,R&D,region_2,Master's & above,m,sourcing,1,37,3,7,0,84,0,123744
43931,Operations,region_7,Bachelor's,m,other,1,37,1,10,0,60,0,125927
7152,Technology,region_2,Bachelor's,m,other,1,38,3,5,0,77,0,47879
9403,Sales & Marketing,region_31,Bachelor's,m,other,1,34,1,4,0,51,0,29454
17436,Sales & Marketing,region_31,Bachelor's,m,other,1,34,5,8,0,46,0,30354
54461,Operations,region_15,Bachelor's,m,other,1,37,3,9,0,59,0,97899
12067,Procurement,region_14,Bachelor's,m,other,1,35,3,7,0,75,0,121200
33332,Operations,region_15,,m,sourcing,1,41,4,11,0,57,0,34718
58789,Finance,region_11,Bachelor's,f,other,1,28,3,4,0,63,0,42539
71177,Procurement,region_5,Bachelor's,m,other,1,27,,1,0,70,0,40184
52057,Finance,region_22,Master's & above,m,sourcing,2,39,5,7,0,59,0,49713
26585,Technology,region_22,Bachelor's,m,other,1,27,5,3,0,83,0,107446
37749,Procurement,region_26,Bachelor's,m,other,1,31,5,4,0,68,0,19981
2370,Technology,region_26,Bachelor's,m,other,1,33,4,4,0,79,0,34598
8219,Analytics,region_5,Bachelor's,m,other,1,29,5,3,0,80,0,46062
74759,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,26,,1,0,44,0,46565
27395,Procurement,region_15,Bachelor's,m,sourcing,1,37,5,10,0,72,0,68609
58536,Finance,region_31,Bachelor's,m,other,2,26,1,2,0,,0,32822
35465,Sales & Marketing,region_7,,f,sourcing,1,24,1,2,0,48,0,16216
51756,Operations,region_2,Bachelor's,m,sourcing,2,57,4,6,0,58,0,21473
57011,Analytics,region_22,Bachelor's,m,other,2,27,5,3,0,87,0,47255
77064,Sales & Marketing,region_22,Bachelor's,m,other,1,40,2,4,0,47,0,11616
64062,Technology,region_28,Bachelor's,m,sourcing,1,33,4,4,0,75,0,123428
47123,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,40,5,3,0,47,0,33823
56275,Sales & Marketing,region_1,Master's & above,m,other,1,42,5,5,0,51,0,21675
58304,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,33,5,6,0,51,1,32329
25014,Technology,region_15,Bachelor's,m,other,1,34,3,10,0,80,0,141443
40097,Operations,region_2,Bachelor's,f,other,2,23,4,2,0,57,0,79586
23560,HR,region_2,Bachelor's,m,sourcing,1,59,4,26,0,52,0,38951
17423,Sales & Marketing,region_2,,m,other,3,24,2,2,0,48,0,16975
61758,Analytics,region_2,Bachelor's,m,other,1,44,5,12,0,88,0,39823
75009,Procurement,region_17,Bachelor's,f,sourcing,1,50,5,11,0,71,0,144921
17876,Procurement,region_13,Master's & above,f,other,1,37,4,4,0,71,0,21455
36924,Technology,region_16,Bachelor's,m,sourcing,1,40,3,11,0,80,0,41002
50408,Sales & Marketing,region_20,Bachelor's,m,sourcing,1,30,3,3,0,49,0,40727
18013,Procurement,region_2,Master's & above,f,sourcing,1,56,3,12,0,73,0,24672
24104,Finance,region_2,Bachelor's,m,sourcing,1,20,4,2,0,60,0,37868
32083,Sales & Marketing,region_25,Bachelor's,f,sourcing,1,31,3,8,0,48,0,46375
38330,Procurement,region_15,Bachelor's,m,sourcing,1,40,3,12,0,65,0,41966
33690,HR,region_22,Bachelor's,m,other,1,30,1,6,0,50,0,61774
73161,Operations,region_22,Bachelor's,m,other,1,39,3,5,0,62,0,16262
13596,Analytics,region_31,Bachelor's,m,other,2,26,2,2,0,85,0,40136
45709,Sales & Marketing,region_31,Bachelor's,f,other,1,29,,1,0,49,0,12107
32709,R&D,region_22,Master's & above,m,sourcing,1,40,3,5,0,84,0,145949
26599,Sales & Marketing,region_16,Bachelor's,m,other,2,27,,1,0,47,0,67639
32656,Sales & Marketing,region_19,Bachelor's,m,other,1,40,4,7,0,52,0,23974
17673,Sales & Marketing,region_4,Master's & above,m,other,1,50,4,17,0,47,1,45125
3113,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,25,3,3,0,53,0,43040
9150,Analytics,region_22,Bachelor's,f,other,1,28,,1,0,80,0,13268
14107,Sales & Marketing,region_1,Master's & above,m,sourcing,1,35,4,2,0,52,0,34158
58747,R&D,region_26,Bachelor's,m,other,1,34,5,5,0,87,0,23845
3342,Operations,region_13,Master's & above,f,sourcing,1,31,3,3,0,58,0,42783
77981,Finance,region_22,Bachelor's,m,other,1,27,,1,1,58,1,68677
16502,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,27,,1,0,,1,23676
73729,Procurement,region_10,Bachelor's,m,other,1,30,4,6,0,75,0,38925
45624,Analytics,region_31,Bachelor's,m,other,1,30,3,7,0,84,1,17948
75677,Operations,region_22,Bachelor's,f,other,1,50,5,5,0,59,0,139288
24040,Technology,region_22,Master's & above,m,other,1,34,5,7,0,78,1,28937
68082,Sales & Marketing,region_2,Master's & above,f,sourcing,1,41,1,12,0,52,0,25659
51786,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,32,4,6,0,44,0,41222
77577,Sales & Marketing,region_7,Bachelor's,m,other,1,50,3,14,0,52,0,42740
54782,Sales & Marketing,region_2,Master's & above,m,sourcing,1,38,4,2,0,49,1,22353
52368,Sales & Marketing,region_27,Bachelor's,m,sourcing,2,29,1,5,0,51,0,34934
75103,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,4,3,0,53,0,15863
7520,Analytics,region_2,Bachelor's,m,other,1,25,3,2,0,91,0,29788
59147,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,30,3,3,0,58,1,30683
53092,Technology,region_2,Bachelor's,m,referred,1,47,3,7,0,79,0,49192
34564,Operations,region_4,Master's & above,m,sourcing,1,35,2,7,0,53,0,33272
66013,Sales & Marketing,region_2,,m,sourcing,2,25,3,2,0,53,0,13736
77135,R&D,region_22,Bachelor's,m,other,1,36,4,8,0,82,0,64092
44575,Legal,region_7,Bachelor's,m,other,1,29,,1,0,65,1,12547
47498,Operations,region_11,Master's & above,f,sourcing,1,42,5,11,0,60,1,42254
20798,HR,region_20,Bachelor's,f,sourcing,1,28,2,6,0,52,0,42888
69094,Sales & Marketing,region_2,,m,sourcing,1,39,1,9,0,49,0,136705
22261,Procurement,region_7,Master's & above,m,sourcing,1,32,5,3,0,69,1,23376
9589,Sales & Marketing,region_31,Bachelor's,f,other,1,31,,1,0,51,0,61172
62658,Sales & Marketing,region_2,,f,sourcing,1,20,,1,0,55,0,41320
21628,Analytics,region_12,Bachelor's,m,other,1,34,3,8,0,85,0,14948
68484,Procurement,region_2,Master's & above,m,sourcing,2,46,4,3,0,74,0,94176
44523,HR,region_2,Master's & above,m,other,1,47,3,7,0,44,0,27337
35420,Operations,region_2,Bachelor's,f,other,1,44,4,13,0,53,0,16124
43923,Analytics,region_14,Bachelor's,m,sourcing,1,31,4,4,0,86,0,30469
64109,Technology,region_26,Bachelor's,f,sourcing,1,23,,1,0,77,0,43563
41983,Operations,region_2,Bachelor's,f,sourcing,1,33,3,5,0,57,0,14443
21440,Sales & Marketing,region_31,Bachelor's,m,other,1,41,3,12,0,52,0,56965
51256,Finance,region_2,Master's & above,m,other,1,60,5,17,0,59,0,21727
66635,Operations,region_15,Bachelor's,m,other,1,31,5,4,0,63,1,21855
16027,Operations,region_26,Bachelor's,f,other,1,37,3,11,0,57,0,20496
46020,Analytics,region_7,Bachelor's,m,sourcing,2,39,3,4,0,83,0,26337
28509,Sales & Marketing,region_7,Bachelor's,m,other,1,40,5,8,0,54,0,24978
33587,Sales & Marketing,region_28,Master's & above,m,sourcing,1,42,5,4,0,50,0,31541
21387,Operations,region_13,Bachelor's,m,other,1,35,4,6,0,57,1,44389
55927,Operations,region_13,Master's & above,f,sourcing,1,41,4,6,0,62,0,47080
60763,Procurement,region_2,Bachelor's,f,other,1,23,3,2,0,73,0,30204
53167,Sales & Marketing,region_16,Bachelor's,m,sourcing,2,31,3,4,0,50,0,44392
32672,Analytics,region_22,Master's & above,m,other,1,42,2,19,0,79,0,39097
48785,Sales & Marketing,region_22,Bachelor's,m,other,3,29,4,2,0,49,0,35328
